MaleID,Trial,Date,Enter?,CourtshipVigor/Sec,FemaleID,Weight,NestArea,ThroatArea,ThroatIntensity ,ThroatCombined,EyeIntensity
M-8A,a,8/1/14,1,0.257620412,whwt/,1.8,831.701,3.75,1,4.75,1.75
M-8A,b,8/2/14,1,0.095266298,wd/wh,1.41,619.199,4,1.25,5.25,2.5
B-8A,a,8/10/14,1,0.094858891,pt/pt ,1.57,1491.52,3.25,1,4.25,1.5
B-8A,b,8/11/14,1,0.114342886,/ot,1.9,3662.337,2.25,0.5,2.75,1.5
B-9A,a,7/25/14,0,0.151666667,/phpd,2.02,990.388,2.5,1.5,4,1.5
B-9A,b,7/28/14,0,0.145833333,phpd/,1.84,907.983,2.5,1.75,4.25,1.25
B-7B,a,7/22/14,1,0.148332088,pt/ph,1.71,1660.459,3.25,2.25,5.5,2.5
B-7B,b,7/24/14,1,0.064105389,ot/ot,1.32,1660.459,3.75,2.75,6.5,2.25
T-8B,a,6/1/14,0,0.17,od/od,1.58,1067.365,2,1,3,2.75
T-7C,a,7/29/14,0,0.0475,ph/pd,1.74,1502.825,3,2.5,5.5,2.5
T-7C,b,7/30/14,0,0.1675,pdpt/,1.54,967.51,2.75,1,3.75,0.5
M-7C,a,7/31/14,1,0.081947692,/pdpt,1.43,1790.922,2,1.5,3.5,3
B-7C,a,8/6/14,0,0.204166667,whwd/wd,2.07,1096.972,3,0.75,3.75,2.5
B-7C,b,8/7/14,1,0.130671981,whwd/,1.78,1738.289,3.25,2,5.25,2.5
B-9C,a,6/8/14,1,0.213033249,/ot,2.16,767.416,0,0,0,1.5
B-9C,b,6/10/14,0,0.039166667,ot/ot,1.48,767.416,0.75,0.25,1,1.75
T-7D,a,8/5/14,1,0.113149099,/odot,1.62,1526.225,0.75,0.25,1,0.25
T-7D,b,8/5/14,1,0.188432039,wt/wt,1.65,1526.225,0.5,0.25,0.75,0.75
B-7D,a,6/14/14,0,0.240833333,oh/oh,1.55,1148.072,0.75,0.25,1,1
B-7D,b,6/15/14,0,0.070833333,odot/,1.88,1148.072,0.5,0.5,1,1.5
T-7E,a,6/23/14,1,0.312771976,/ohod,1.83,1318.809,3,2.5,5.5,3.5
T-7E,b,6/23/14,1,0.143097342,ohod/,1.73,1318.809,3,2.25,5.25,3.5
M-7E,a,6/23/14,0,0.075,ohod/,1.74,519.28,2.5,0.75,3.25,1.25
M-7E,b,6/23/14,0,0.079166667,/ohod,1.85,519.28,1,1,2,1
M-8E,a,6/19/14,0,0.1525,/odot,1.71,1611.56,0.25,0.5,0.75,0.25
M-8E,b,6/21/14,1,0.106147043,ot/ot,1.38,1611.56,0.75,0.75,1.5,0.75
B-8F,a,6/24/14,0,0.183333333,wd/od,1.98,1015.831,1.75,0.25,2,2
B-8F,b,6/25/14,1,0.102733745,od/wd,1.52,1015.831,1,0.5,1.5,1.5
T-7G,a,6/30/14,1,0.160212492,wh/wh,1.42,1004.881,0,0,0,1.25
T-7G,b,7/2/14,1,0.159120805,wd/wd,1.35,1004.881,1,0.75,1.75,1.75
B-7G,a,7/1/14,1,0.214604661,wd/wd,1.37,328.666,0,0,0,0.5
B-7G,b,7/2/14,1,0.198177327,wt/wt,1.72,328.666,0,0,0,0.5
M-7H,a,8/15/14,1,0.273408833,wh/wh,1.41,929.97,3.25,1.5,4.75,4
M-7H,b,8/25/14,1,0.224895811,/pdpt,1.55,876.075,4,2.5,6.5,4.5
T-8H,a,7/6/14,0,0.0975,pd/pd?,1.12,967.463,0,0,0,1
T-8H,b,7/9/14,0,0.075,,1.23,967.463,0,0,0,1.25
T-7I,a,7/18/14,0,0.094166667,ph/pd,1.77,1157.448,0,0,0,1
T-7I,b,7/19/14,1,0.119868779,pd/ph,1.26,1133.504,0,0,0,0.75
B-7I,a,7/21/14,0,0.061666667,pt/ph,1.76,644.316,0,0,0,2.25
B-7I,b,7/22/14,0,0.0475,pd/pt,0.82,483.886,0,0,0,2.5
T-8I,a,7/13/14,1,0.155305196,/whwd,2.32,463.337,0.25,0.25,0.5,1.75
T-8I,b,7/17/14,0,0.401666667,ph/ph,1.29,625.196,2.75,1.25,4,3
B-8I,a,7/16/14,1,0.117136767,/odot,1.57,840.043,0.25,0.5,0.75,2.5
B-8I,b,7/17/14,0,0.081666667,ph/ph,1.25,840.043,0.25,0.5,0.75,2.5
T-9I,a,7/15/14,0,0.175833333,/odot,1.7,1072.057,0,0,0,1.25
T-9I,b,7/18/14,1,0.104357152,pt/pt,1.7,1164.383,0,0,0,0.75
M-9I,a,7/17/14,1,0.203228332,pt/pt,1.75,1920.128,1.25,1,2.25,2.75
M-9I,b,7/18/14,0,0.099166667,pd/ph,1.26,1292.235,1.5,1,2.5,3.25
M-8J,a,8/7/14,1,0.212625612,whwd/wd,2.02,2316.796,1,0.75,1.75,2
M-8J,b,8/8/14,1,0.123551796,ph/wh,1.79,950.015,1.5,0.5,2,2
B-8K,a,8/4/14,0,0.241666667,wd/wh,1.37,984.031,0,0,0,1
B-8K,b,8/4/14,0,0.131666667,wh/wd,1.52,984.031,0,0,0,0.75
