Column	Description
MaleID	male ID
Trial	"mate choice trial, a or b"
Date	date of mate choice trial (M/D/Y)
Enter?	"did female enter male's nest? 1 = yes, 0 = no"
CourtshipVigor/Sec	number of male courtship behaviors / trial time in sec
FemaleID	female ID
Weight	female weight (g)
NestArea	male nest area
ThroatArea	average of pre and post mate choice throat area
ThroatIntensity 	average of pre and post mate choice throat intensity
ThroatCombined	average of pre and post mate choice throat area + throat intensity
EyeIntensity	average of pre and post mate choice eye intensity
