Male.ID,Weight,NestY.N,MaleEnter1,MaleEnter2,MaleEnter4,MaleEnter7,NumbertoSolve,ASIN.SQRT.Solves.AttemptsDay1,ASIN.SQRT.Solves.AttemptsDay2,ASIN.SQRT.Solves.AttemptsDay4,ASIN.SQRT.Solves.AttemptsDay7,LogTime1,LogTime2,LogTime4,LogTime7,LOGBM1,CompleteNest,MCPreThroatArea_a,MCPreThroatIntensity_a,MCPreThroatCombined_a,MCPreEyeIntensity_a,MCPostThroatArea_a,MCPostThroatIntensity_a,MCPostThroatCombined_a,MCPostEyeIntensity_a,MCPreThroatArea_b,MCPreThroatIntensity_b,MCPreThroatCombined_b,MCPreEyeIntensity_b,MCPostThroatArea_b,MCPostThroatIntensity_b,MCPostThroatCombined_b,MCPostEyeIntensity_b
B-7B,1.71,1,1,0,1,1,1,1.570796327,0,0.615479708,0.281034902,4.523291129,5.77815125,5.140900679,5.43972575,4.523291129,15,2.5,1.5,4.0,2.0,4.0,3.0,7.0,3.0,2.5,1.5,4.0,1.5,5.0,4.0,9.0,3.0
B-7C,1.54,1,0,0,0,0,5,0,0,0,0,5.77815125,5.77815125,5.77815125,5.77815125,4.519946064,20,2.5,0.5,3.0,2.0,3.5,1.0,4.5,3.0,3.0,1.5,4.5,2.0,3.5,2.5,6.0,3.0
B-7D,1.68,1,0,0,1,1,3,0,0,1.570796327,0.785398163,5.77815125,5.77815125,4.850327595,3.650307523,5.77815125,8,0.0,0.0,0.0,0.5,1.5,0.5,2.0,1.5,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
B-7G,1.37,1,1,1,1,1,1,1.570796327,1.570796327,0.16744808,0.281034902,4.423966369,3.870871895,4.84537714,4.637529755,4.423966369,4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
B-7I,1.84,1,1,1,1,1,1,0.306277369,0.261157412,0.615479708,0.523598776,4.869290404,4.716011695,4.454936281,4.021850577,4.703437552,9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5
B-8A,1.88,1,0,1,1,1,2,0,1.570796327,0.306277369,0.785398163,5.77815125,5.341177235,5.044496642,4.805480468,5.390649014,9,3.0,0.5,3.5,0.5,3.5,1.5,5.0,2.5,2.0,0.5,2.5,1.5,2.5,0.5,3.0,1.5
B-8B,1.67,0,0,0,0,1,4,0,0,0,1.570796327,5.77815125,5.77815125,5.77815125,4.897451139,5.681608423,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-8C,1.46,0,0,0,1,1,3,0,0,0.387596687,0.321750554,5.77815125,5.77815125,5.386063561,5.392644202,4.325084439,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-8D,1.14,0,0,0,0,0,5,0,0,0,0,5.77815125,5.77815125,5.77815125,5.77815125,5.313719619,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-8E,1.23,0,1,1,1,1,1,0.292842772,0.252680255,0.174969046,1.570796327,5.206345459,5.290502061,5.481671898,4.475409661,4.953759692,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-8F,2.14,1,0,1,1,0,2,0,0.361367124,0.270549762,0,5.77815125,5.671550487,5.325419188,5.77815125,5.194411653,1,0.0,0.0,0.0,1.0,3.5,0.5,4.0,3.0,1.0,0.5,1.5,2.0,1.0,0.5,1.5,1.0
B-8I,2.8,1,1,1,1,1,1,0.785398163,0.615479708,0.785398163,0.463647609,4.176004391,4.967735132,3.980094314,4.771227257,4.048791274,3,0.0,0.0,0.0,1.5,0.5,1.0,1.5,3.5,0.0,0.0,0.0,1.5,0.5,1.0,1.5,3.5
B-8J,1.4,0,1,1,1,1,1,0.252680255,0.127344027,0.387596687,0.153095923,5.31404849,5.465193922,4.756963037,5.108906507,4.378761175,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-8K,0.95,1,0,0,1,0,3,0,0,0.420534336,0,5.77815125,5.77815125,5.549219129,5.77815125,5.77815125,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
